1,1,新北立委／張慶忠機車隊掃街 民眾熱情主動加入,國民黨新北市立委候選人張慶忠今天以機車掃街拜票車隊，繞遍中和選區大街小巷，全力穩固藍軍選票。不少民眾燃放鞭炮獻上鼓勵與祝福，還有熱心支持者，載著兒子半途加入車隊，主動為張慶忠加油打氣。張慶忠感覺相當窩心，也親自為支持民眾披上競選背心。中和區里長聯誼會長劉金吉表示，基於對張慶忠長期熱心為選民服務的認知與觀察，中和區幾乎全體里長都願意站出來背書，為中和爭取更多的建設，成為更好的生活圈。,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,傳習郭子儀氣功 返鄉授課,"<div class=""video-container""><iframe width=""640"" height=""360"" frameborder=""0"" allowfullscreen src=""//video.udn.com/embed/news/420653""></iframe></div>報社主管退休的媒體人鄭清榮，為照顧病母，投入氣功世界，在一次採訪機緣之下結識唐朝大將軍郭子儀第七十代傳人郭曉晤大師，習得郭子儀獨門氣功，退休後返回雲林老家照顧老母，並傳授獨門氣功，帶動養生風潮。「郭家祖傳氣功秘笈原不對外傳授的」鄭清榮說，他原在台北報社擔任新聞中心主任，工作繁忙，身體欠佳，一次採訪機緣，在台北結識汾陽氣功門派掌門人郭曉晤，郭係為唐朝名將郭子儀的後代，也是汾陽陽氣功第七十代獨門傳人。鄭清榮說，郭曉晤原本是國內大飯店的名廚，採訪時發現郭雖已年高九十，氣色紅潤、聲如宏鍾，在得知郭擁有一身祖先傳襲的獨門氣功與藥理好功夫，當時郭在距離他兩公尺外發功，他竟能感到身體灼熱氣血流暢，首次見識郭家氣功內歛沈厚。十多年前鄭清榮拜郭曉晤為師，郭大師被其孝行感動加上師徒情深，最後把祖傳秘笈傾囊相授並同意把獨門功夫對外傳授，與人分享，救世行善。鄭清榮在水林鄉老家開設「氣功養生中心」免費傳授郭家氣功，其從主計總處退休的太太張玉珠也隨夫練功，如今也成教練，夫妻同修，以氣功帶動家鄉養生風潮，深受肯定。",,,,,,,,,,,,,,,,,,,,,,,,,
3,1,台北立委／溫柔巷戰 賴士葆邀提琴手伴掃街,二○一六立委選舉僅剩兩周就要投票，各候選人也多啟動「巷戰」模式，率領競選團隊指導市場、車站、站路口。為了讓民眾能印象深刻，還各出奇招。國民黨資深立委賴士葆，近日就特別邀專業的小提琴手陪著掃市場，「跨界合作」效果頗獲好評。賴士葆表示，過去競選時掃街，千篇一律就是用大聲公喊話外，雖然介紹了自己，卻打擾了民眾，才會想說改用悠揚的音樂「Call人」，也柔和一下選戰氣氛。昨天賴士葆掃街過程，提琴手演奏曲目，還應景的穿插「感恩的心」、「快樂的出帆」，兼具提振士氣效果，還有支持者一時興起，要求提琴手演奏「愛拚才會贏」，並要求與賴士葆合唱，也意外達到同樂與打氣效果，炒熱現場氣氛。,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,蔡英文：會在新北重新站起來,蔡英文晚間在新北市板橋區舉辦造勢晚會，雲林縣長李進勇、宜蘭縣長林聰賢等人都到場助講，蔡英文晚間9時30分到場，主辦單位宣稱現場有超過3萬人。蔡英文說，新北市對她很有意義，2010年第1次參選公職就是在新北市，當初敗選時說，這次沒有成功、下次再來、總有1次會成功。她表示，選舉只剩2週，要贏新北就差最後半哩路。蔡英文說，新北市是她和民進黨曾經失敗的地方，14天後會重新站起來。蔡英文說，這次選舉是民進黨在新北市最有機會贏的一次，立法委員提名10席、還有2席戰友，目標12席全上，多1張選票就多一份改革的希望。她表示，民進黨在新北市跌倒過，也一定會站起來，民進黨在新北市立委全上、國會就過半。蔡英文說，新北要贏，板橋關鍵2席立委，民進黨分別提名張宏陸、羅致政都正在激戰當中。她說，立委選舉改制後，板橋立委一直是國民黨籍，但他們的成績不怎麼樣，沒有與人民站在一起。她呼籲民眾2週後要出來投票，支持她、支持民進黨提名立委參選人、政黨票支持民進黨。,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,大福彩頭獎 連74槓,第105001期大福彩今晚開獎，中獎號碼為31、20、30、18、34、36、17。派彩結果，頭獎連74期槓龜。貳獎有13注中獎，各得獎金新台幣25萬元；參獎有661注中獎，各得獎金4000元。派彩結果及中獎獎號以台彩公布為準。,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,今彩539 頭獎槓龜,第105002期今彩539開獎，中獎號碼25、29、28、17、09。派彩結果，頭獎槓龜。貳獎197注中獎，每注可得2萬元；參獎6893注中獎，每注可得300元。3星彩中獎號碼099，正彩138注中獎，每注可得1萬2500元。4星彩中獎號碼5485，正彩6注中獎，每注可得12萬5000元。實際中獎獎號及派彩內容，以台彩公司公布為準。,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,回家 土耳其牛從2層樓高屋頂跳下,土耳其一隻被困在兩層樓高穀倉屋頂的牛隻，勇敢一躍而下。不過目前仍不清楚，這隻充滿了好奇心的反芻動物是如何爬上屋頂。據英國「每日鏡報」（Daily Mirror）網站報導，這隻很粗暴的牛先是小心翼翼的踩著屋瓦走在屋頂上。到屋頂邊緣時，牠略為猶豫一下，似乎是在考慮有沒有其他選擇。但牠?有被嚇倒，先用前腳跳下建築物前面一樓屋頂。?有人會認為牛是舉止優雅的動物，這一隻也不例外，牠撞破了屋瓦，掉入下面的穀倉。很幸運的，這隻牛似乎並沒有因為這次冒險而自食惡果。在錄影的最後，可以看到牠嚼著草料，對於剛才的冒險，完全不當一回事。,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,蔡英文盼新北市立委選戰開出漂亮成績,民進黨總統候選人蔡英文出席「迎向未來、點亮台灣」新北市板橋場，盼望在新北市立委選戰能開出漂亮成績。,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,以色列酒吧元旦槍擊案 警方封街追捕槍手,這起昨天大年元旦下午發生的槍擊案，地點在特拉維夫繁忙的迪增奧夫街（Dizengoff）。警方發言人羅森費德（Micky Rosenfeld）說：「警方持續在特拉維夫市中心搜捕謀殺2名以色列人的嫌犯。」他指出，特拉維夫「若干市區都設有路障」。媒體報導說，槍手是名20好幾、來自以色列北方的阿拉伯人，而且最近才因為攻擊1名軍人而鋃鐺入獄。不過，警方拒絕證實這項報導。,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,教士尼姆遭處決 手足籲冷靜反暴力,伊斯蘭什葉派知名教士尼姆（Nimr al─Nimr）的兄弟穆罕默德．尼姆警告，尼姆今天遭到沙烏地阿拉伯處決1事，可能激起同派年輕教徒的怒氣，但他呼籲外界保持平靜。穆罕默德．尼姆（Mohammed al─Nimr）告訴記者，「這個作法將激起（什葉派）年輕人的怒氣」；但他呼籲，還是應訴諸「和平抗議行動」。他說：「我們反對暴力和與當局衝突，正如成仁的教長尼姆反對一般。」穆罕默德說，對於處決，「我們予以譴責」；並說，「我們預期也希望，智慧和政治解決方案能大行其道」。【中央社／巴格達／杜拜2日綜合外電報導】與伊朗關係良好的伊拉克知名國會議員韓慕迪今天發表聲明，指責沙烏地阿拉伯將什葉派教士尼姆處決。他說，這種作法正符合伊斯蘭國（IS）的利益。韓慕迪（Humam Hamoudi）是知名的什葉派政治人物，他說，「尼姆教長遭到處決，正中伊斯蘭國下懷，這個組織正指望挑起教派戰火以擴張勢力。」伊朗支持下的伊拉克知名人士今天呼籲伊拉克政府，就尼姆遭處決1事，與沙烏地阿拉伯斷絕關係。國會黨團巴德爾組織（Badr Organization）領導人阿拉吉（Al─Araji）說，「這是個開啟了地獄之門的重大罪行」；他並呼籲伊拉克當局，「立即」與沙國斷交。另1個伊朗支持的民兵團體「正直聯盟」（Asaib Ahl al─Haq）指控，沙國企圖激化遜尼派與什葉派之間的衝突，因此質問道，「讓沙國大使館開在伊拉克有何用處」？巴林警方今天對抗議尼姆遭處決的數十名示威民眾發射催激瓦斯。這些民眾手持尼姆的遺像，在首都麥納瑪（Manama）以西的回教什葉派阿布塞巴村（Abu─Saiba）與安全部隊僵持。島國巴林是由遜尼派統治，活躍人士號召發起抗議，顯示尼姆之死可能會使中東已嚴重的教派緊張態勢火上加油。,,,,,,,,,,,,,,,,,,,,,,,,,
